SampleID	accession	DenoiseBatch	AmpliconRegion	PrimerSet
 SAMEA7016816	ERR4296609	PRJEB39064	V3-V4	V3-V4
 SAMEA7016817	ERR4296610	PRJEB39064	V3-V4	V3-V4
 SAMEA7016818	ERR4296611	PRJEB39064	V3-V4	V3-V4
 SAMEA7016819	ERR4296612	PRJEB39064	V3-V4	V3-V4
 SAMEA7016820	ERR4296613	PRJEB39064	V3-V4	V3-V4
 SAMEA7016821	ERR4296614	PRJEB39064	V3-V4	V3-V4
 SAMEA7016822	ERR4296615	PRJEB39064	V3-V4	V3-V4
 SAMEA7016823	ERR4296616	PRJEB39064	V3-V4	V3-V4
 SAMEA7016864	ERR4296657	PRJEB39064	V3-V4	V3-V4
 SAMEA7016865	ERR4296658	PRJEB39064	V3-V4	V3-V4
 SAMEA7016866	ERR4296659	PRJEB39064	V3-V4	V3-V4
 SAMEA7016867	ERR4296660	PRJEB39064	V3-V4	V3-V4
 SAMEA7016868	ERR4296661	PRJEB39064	V3-V4	V3-V4
 SAMEA7016869	ERR4296662	PRJEB39064	V3-V4	V3-V4
 SAMEA7016870	ERR4296663	PRJEB39064	V3-V4	V3-V4
 SAMEA7016871	ERR4296664	PRJEB39064	V3-V4	V3-V4
 SAMEA7016872	ERR4296665	PRJEB39064	V3-V4	V3-V4
 SAMN12033537	SRR9277659	PRJNA548462	V3-V4	V3-V4
 SAMN12033538	SRR9277660	PRJNA548462	V3-V4	V3-V4
 SAMN12033539	SRR9277661	PRJNA548462	V3-V4	V3-V4
 SAMN12033540	SRR9277662	PRJNA548462	V3-V4	V3-V4
 SAMN12033541	SRR9277655	PRJNA548462	V3-V4	V3-V4
 SAMN12033542	SRR9277656	PRJNA548462	V3-V4	V3-V4
 SAMN12033543	SRR9277657	PRJNA548462	V3-V4	V3-V4
 SAMN12033517	SRR9277638	PRJNA548462	V3-V4	V3-V4
 SAMN12033518	SRR9277667	PRJNA548462	V3-V4	V3-V4
 SAMN12033519	SRR9277666	PRJNA548462	V3-V4	V3-V4
 SAMN12033520	SRR9277665	PRJNA548462	V3-V4	V3-V4
 SAMN12033521	SRR9277642	PRJNA548462	V3-V4	V3-V4
 SAMN12033522	SRR9277641	PRJNA548462	V3-V4	V3-V4
 SAMN12033523	SRR9277640	PRJNA548462	V3-V4	V3-V4
 SAMN37295024	SRR25921233	PRJNA1013236	V3-V4	V3-V4
 SAMN37295025	SRR25921231	PRJNA1013236	V3-V4	V3-V4
 SAMN37295026	SRR25921230	PRJNA1013236	V3-V4	V3-V4
 SAMN37295027	SRR25921229	PRJNA1013236	V3-V4	V3-V4
 SAMN37295028	SRR25921228	PRJNA1013236	V3-V4	V3-V4
 SAMN37295029	SRR25921227	PRJNA1013236	V3-V4	V3-V4
 SAMN37295030	SRR25921226	PRJNA1013236	V3-V4	V3-V4
 SAMN37294875	SRR25921306	PRJNA1013236	V3-V4	V3-V4
 SAMN37294876	SRR25921305	PRJNA1013236	V3-V4	V3-V4
 SAMN37294877	SRR25921209	PRJNA1013236	V3-V4	V3-V4
 SAMN37294878	SRR25921034	PRJNA1013236	V3-V4	V3-V4
 SAMN37294879	SRR25921110	PRJNA1013236	V3-V4	V3-V4
 SAMN37294880	SRR25921099	PRJNA1013236	V3-V4	V3-V4
 SAMN37294881	SRR25921024	PRJNA1013236	V3-V4	V3-V4
